"ticker";"2018";"2019";"2020";"2021";"2022";"2023"
"INTC";5211930000000;4256750000000;3204160000000;2209600000000;1109070000000;153320000000
"ICE";542860000000;451270000000;364710000000;277050000000;157300000000;65560000000
"IP";516160000000;418050000000;319540000000;218190000000;112310000000;12170000000
"INTU";551080000000;468180000000;3104090000000;2182130000000;1109340000000;153920000000
"ISRG";554830000000;468570000000;396170000000;2128350000000;193770000000;109060000000
"IVZ";56640000000;48150000000;38000000000;210610000000;18180000000;7190000000
"INVH";510450000000;416230000000;316640000000;227050000000;118190000000;21000000000
"IPG";57910000000;48930000000;39170000000;214740000000;112940000000;12540000000
"IPGP";55990000000;47680000000;311920000000;29170000000;14610000000;5120000000
"IQV";522940000000;429710000000;334350000000;253890000000;138050000000;41070000000
"IRM";59270000000;49150000000;38490000000;215150000000;114490000000;18560000000
"JKHY";59760000000;411170000000;312360000000;212360000000;112800000000;11520000000
"J";58200000000;411940000000;314160000000;218020000000;115200000000;17040000000
"JBHT";510110000000;412400000000;314440000000;221480000000;118050000000;19810000000
"SJM";510630000000;411870000000;313180000000;214710000000;116890000000;14550000000
"JNJ";5343570000000;4384000000000;3414300000000;2450350000000;1461840000000;386430000000
"JCI";527060000000;431100000000;333720000000;257260000000;143940000000;41010000000
"JPM";5319780000000;4429910000000;3387330000000;2466190000000;1393340000000;426670000000
"JNPR";59320000000;48270000000;37420000000;211490000000;110370000000;9410000000
"KSU";49630000000;314720000000;219100000000;126710000000;26710000000;0
"K";519600000000;423620000000;321380000000;221970000000;124310000000;20520000000
"KDP";536040000000;440720000000;345030000000;252260000000;150500000000;46870000000
"KEY";515060000000;419770000000;316020000000;221480000000;116250000000;10810000000
"KEYS";511650000000;420010000000;324580000000;237800000000;130580000000;23770000000
"KMB";539300000000;446970000000;345860000000;248130000000;145810000000;43100000000
"KIM";56170000000;48940000000;36490000000;215190000000;113090000000;11700000000
"KMI";534790000000;447940000000;330940000000;235960000000;140630000000;38190000000
"KLAC";513540000000;427940000000;339990000000;264880000000;153430000000;69310000000
"KSS";510950000000;47970000000;36410000000;26870000000;12780000000;2920000000
"KHC";552500000000;439230000000;342370000000;243940000000;149860000000;40010000000
"KR";521930000000;423200000000;324180000000;233270000000;131910000000;33000000000
"LHX";515850000000;443740000000;339710000000;241840000000;139640000000;33520000000
"LH";512490000000;416440000000;319820000000;230060000000;120860000000;18300000000
"LW";510770000000;412560000000;311520000000;29200000000;112850000000;14180000000
"LRCX";520960000000;441650000000;368010000000;2100870000000;157320000000;93010000000
"LVS";540330000000;452740000000;345520000000;228750000000;136730000000;41990000000
"LEG";54670000000;46690000000;35870000000;25480000000;14270000000;3760000000
"LDOS";57690000000;413850000000;314960000000;212470000000;114370000000;13570000000
"LEN";512390000000;417200000000;323270000000;233940000000;125770000000;34280000000
"LNC";510560000000;411600000000;39720000000;212330000000;15190000000;4440000000
"LIN";585390000000;4113760000000;3138300000000;2177560000000;1160660000000;189760000000
"LYV";510340000000;415270000000;315680000000;226880000000;116100000000;19340000000
"LKQ";57500000000;410950000000;310720000000;217490000000;114260000000;14140000000
"LMT";573570000000;4109410000000;399310000000;296310000000;1127490000000;112860000000
"L";514200000000;415270000000;312370000000;214650000000;113840000000;14190000000
"LOW";574160000000;491790000000;3117600000000;2174150000000;1120480000000;135320000000
"LUMN";516360000000;414390000000;310690000000;212840000000;15400000000;1590000000
"LYB";531240000000;431500000000;330600000000;230690000000;127030000000;32730000000
"M";59150000000;45250000000;33490000000;27830000000;15590000000;3310000000
"MRO";511740000000;410800000000;35260000000;212780000000;117190000000;16740000000
"MPC";540120000000;439100000000;326910000000;239390000000;154540000000;58360000000
"MKTX";57950000000;414380000000;321660000000;215630000000;110490000000;8990000000
"MAR";537030000000;449500000000;342780000000;253810000000;147120000000;62430000000
"MMC";540180000000;456100000000;359340000000;287600000000;182070000000;96700000000
"MLM";510740000000;417440000000;317680000000;227480000000;120980000000;28260000000
"MAS";58590000000;413220000000;314370000000;217130000000;110520000000;13430000000
"MA";5194490000000;4300680000000;3355840000000;2352070000000;1334320000000;391550000000
"MTCH";515330000000;421090000000;340210000000;237430000000;111580000000;12930000000
"MXIM";313920000000;216590000000;123690000000;27690000000;0;0
"MKC";518390000000;422570000000;325500000000;225820000000;122220000000;21590000000
"MCD";5136210000000;4147470000000;3159880000000;2200310000000;1193010000000;205110000000
"MCK";521190000000;424470000000;327920000000;237230000000;153180000000;55870000000
"MDT";5122160000000;4152060000000;3157670000000;2139090000000;1103380000000;109320000000
"MRK";5198090000000;4230920000000;3206950000000;2193580000000;1281300000000;278720000000
"META";5374130000000;4585370000000;3778230000000;2921930000000;1319880000000;762630000000
"MET";539360000000;446650000000;342250000000;252560000000;156780000000;48350000000
"MTD";514090000000;419130000000;327110000000;239010000000;132220000000;26720000000
"MGM";512790000000;416730000000;315560000000;221040000000;112870000000;16130000000
"MCHP";517040000000;425080000000;337130000000;248300000000;138630000000;44790000000
"MU";535570000000;459740000000;383960000000;2104320000000;154530000000;77090000000
"MSFT";5780360000000;41200000000000;31681000000000;22522000000000;11787000000000;2441000000000
"MAA";510890000000;415060000000;314480000000;226410000000;118630000000;17280000000
"MRNA";55020000000;46580000000;341330000000;2102970000000;169000000000;42900000000
"MHK";58450000000;49760000000;310030000000;212330000000;16490000000;6480000000
"MOH";57200000000;48410000000;312610000000;218570000000;119280000000;18090000000
"TAP";512150000000;411680000000;39830000000;210080000000;111210000000;13620000000
"MDLZ";558080000000;479040000000;383620000000;292500000000;191010000000;94800000000
"MPWR";54940000000;47760000000;316510000000;222730000000;116590000000;25070000000
"MNST";526750000000;434100000000;348820000000;250810000000;153010000000;59230000000
"MCO";526790000000;444550000000;354500000000;272600000000;151040000000;62250000000
"MS";567390000000;481480000000;3123980000000;2173930000000;1143690000000;142250000000
