"tickers";"capex2018";"capex2019";"capex2020";"capex2021";"capex2022";"net_assets_from_acquisitions2018";"net_assets_from_acquisitions2019";"net_assets_from_acquisitions2020";"net_assets_from_acquisitions2021";"net_assets_from_acquisitions2022";"sale_of_fixed_assets_businesses2018";"sale_of_fixed_assets_businesses2019";"sale_of_fixed_assets_businesses2020";"sale_of_fixed_assets_businesses2021";"sale_of_fixed_assets_businesses2022"
"ATO";"(1.47B)";"(1.69B)";"(1.94B)";"(1.97B)";"(2.44B)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"ATVI";"(131M)";"(116M)";"(78M)";"(80M)";"(91M)";"-";"-";"-";"-";"(135M)";"-";"-";"-";"-";"-"
"AVB";"(86.93M)";"(140.89M)";"(137.04M)";"(153.24M)";"(174.71M)";"-";"-";"(68K)";"(55K)";"(997K)";"-";"456K";"-";"-";"-"
"AVGO";"(635M)";"(432M)";"(463M)";"(443M)";"(424M)";"(4.8B)";"(16.03B)";"(10.87B)";"(8M)";"(246M)";"1.01B";"1.05B";"230M";"49M";"-"
"AVY";"(256.6M)";"(257.2M)";"(218.6M)";"(272.1M)";"(298.5M)";"(3.8M)";"(6.5M)";"(350.4M)";"(1.48B)";"(39.5M)";"9.4M";"7.8M";"9.2M";"8.7M";"3.4M"
"AWK";"(1.59B)";"(1.65B)";"(1.82B)";"(1.76B)";"(2.3B)";"(398M)";"(235M)";"(135M)";"(135M)";"(315M)";"35M";"48M";"2M";"472M";"608M"
"AXP";"(1.31B)";"(1.69B)";"(1.48B)";"(1.64B)";"(1.86B)";"(520M)";"(352M)";"(597M)";"-";"(15M)";"1M";"43M";"1M";"89M";"1M"
"AZO";"(522.25M)";"(496.05M)";"(457.74M)";"(621.77M)";"(672.39M)";"-";"-";"-";"-";"-";"-";"6.6M";"11.76M";"29.98M";"57.99M"
"BA";"(1.79B)";"(1.96B)";"(1.3B)";"(980M)";"(1.22B)";"(3.23B)";"(455M)";"-";"(6M)";"-";"155M";"805M";"296M";"529M";"35M"
"BAC";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"BALL";"(816M)";"(598M)";"(1.11B)";"(1.73B)";"(1.65B)";"-";"-";"(86M)";"-";"-";"539M";"160M";"-";"112M";"759M"
"BAX";"(659M)";"(696M)";"(709M)";"(743M)";"(679M)";"(268M)";"(418M)";"(494M)";"(10.5B)";"(263M)";"-";"-";"-";"-";"-"
"BBWI";"(629M)";"(458M)";"(228M)";"(270M)";"(328M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"BBY";"(819M)";"(743M)";"(713M)";"(737M)";"(930M)";"(787M)";"(145M)";"-";"(468M)";"-";"-";"-";"-";"-";"-"
"BDX";"(895M)";"(957M)";"(810M)";"(1.19B)";"(973M)";"(15.16B)";"-";"(164M)";"(508M)";"(2.07B)";"534M";"477M";"-";"-";"-"
"BEN";"(106.5M)";"(233.7M)";"(103.7M)";"(79.3M)";"(90.3M)";"(86.8M)";"(684.2M)";"(3.82B)";"(9M)";"(1.35B)";"-";"-";"-";"-";"-"
"BF.B";"(121M)";"(119M)";"(65M)";"(138M)";"(183M)";"-";"(22M)";"(14M)";"-";"(1.2B)";"-";"-";"177M";"-";"-"
"BIIB";"(886.1M)";"(669.5M)";"(551.8M)";"(294.9M)";"(243.2M)";"-";"(744.4M)";"-";"-";"-";"-";"923.7M";"-";"28.1M";"595M"
"BIO";"(129.83M)";"(98.53M)";"(98.92M)";"(133.75M)";"(114.16M)";"-";"-";"(96.66M)";"(125.52M)";"(100.75M)";"11.28M";"129K";"12.31M";"52K";"1.52M"
